"Dictionary - WordWeb",books_and_reference,"3.2","Dec 15 2015","Android 2.2+",29.9 MB,"WordWeb Software",https://download.apkpure.com/c/APK/555/012228bc1cf088c2?fn=Dictionary%20WordWeb_v3.2_apkpure.com.apk&k=9110e7a47d270010f10f65ca42166c755724c448&p=com.wordwebsoftware.android.wordweb&c=1%7CBOOKS_AND_REFERENCE
"X MOD for Coc",books_and_reference,"1.2","Sep 18 2015","Android 2.3.2+",2.8 MB,"KnowApp",https://download.apkpure.com/c/APK/436/01184806bf211537?fn=X%20MOD%20for%20Coc_v1.2_apkpure.com.apk&k=61948854d70c2f6fd03f8d9189c55e615724c448&p=com.know.xmodforcoc&c=1%7CBOOKS_AND_REFERENCE
"Le Conjugueur",books_and_reference,"2.32","Jan 21 2016","Android 2.3.2+",3.6 MB,"Brewalan Le Dru",https://download.apkpure.com/c/APK/671/012f64f5c740bd58?fn=Le%20Conjugueur_v2.32_apkpure.com.apk&k=30fbd78c925335b9a4a059689a4402355724c448&p=com.leconjugueur.droid&c=1%7CBOOKS_AND_REFERENCE
"Hacking Tutorials 2.0",books_and_reference,"2.0.05","Feb 21 2015","Android 4.0.3+",5.5 MB,"Xeus",https://download.apkpure.com/c/APK/260/010af37c934d4c70?fn=Hacking%20Tutorials%202%200_v2.0.05_apkpure.com.apk&k=814a0afa81e7f49104cc4d1f744a566c5724c448&p=x.abcd&c=1%7CBOOKS_AND_REFERENCE
"네이버 - NAVER",books_and_reference,"7.0.1","Apr 11 2016","Android 2.3.4+",11.9 MB,"NAVER Corp.",https://download.apkpure.com/c/APK/1150/01774a4e70ac24bb?fn=%EB%84%A4%EC%9D%B4%EB%B2%84%20NAVER_v7.0.1_apkpure.com.apk&k=67b4394df08ca5355466df37686f4e2f5724c448&p=com.nhn.android.search&c=1%7CBOOKS_AND_REFERENCE
"Yaqut - Free Arabic eBooks",books_and_reference,"4.0 (4008)","Mar 31 2016","Android 2.3.4+",6.3 MB,"Yaqut",https://download.apkpure.com/c/APK/1072/0164b907ef2066fc?fn=Yaqut%20Free%20Arabic%20eBooks_v4.0%20(4008)_apkpure.com.apk&k=0b8c78a34fb462f2b69359a5f3f31f015724c448&p=co.yaqut.app&c=1%7CBOOKS_AND_REFERENCE
"المكتبة الشاملة",books_and_reference,"9.5","Feb 17 2015","Android 2.3.4+",16.0 MB,"Shamela.ws",https://download.apkpure.com/c/APK/289/010c105c49dbe06f?fn=%D8%A7%D9%84%D9%85%D9%83%D8%AA%D8%A8%D8%A9%20%D8%A7%D9%84%D8%B4%D8%A7%D9%85%D9%84%D8%A9_v9.5_apkpure.com.apk&k=ad7430187a7234ab1b1acaf5e8f7fc1a5724c448&p=shamela.ws&c=1%7CBOOKS_AND_REFERENCE
"Cool Reader",books_and_reference,"3.1.2-102","Jul 17 2015","Android 1.5+",3.6 MB,"Vadim Lopatin",https://download.apkpure.com/c/APK/870/01481c6d25561b88?fn=Cool%20Reader_v3.1.2-102_apkpure.com.apk&k=b97f887cd7d7462b1a14003739c486925724c448&p=org.coolreader&c=1%7CBOOKS_AND_REFERENCE
"Al Quran Indonesia",books_and_reference,"2.5.67","Apr 01 2016","Android 2.3.4+",10.9 MB,"Andi Unpam",https://download.apkpure.com/c/APK/1084/01685993d1090fdb?fn=Al%20Quran%20Indonesia_v2.5.67_apkpure.com.apk&k=487887808d59fa74f87e2fa8417d9cd75724c448&p=com.andi.alquran.id&c=1%7CBOOKS_AND_REFERENCE
"Ebook Reader",books_and_reference,"4.1.2","Apr 19 2016","Android 3.0+",16.5 MB,"eBooks.com",https://download.apkpure.com/c/APK/820/0143b10bea0c69fb?fn=Ebook%20Reader_v4.1.2_apkpure.com.apk&k=ca5f1431ddd79a3dc6b980d4174b21955724c448&p=com.ebooks.ebookreader&c=1%7CBOOKS_AND_REFERENCE
"Xmod Root",books_and_reference,"1.4","Jan 30 2016","Android 2.3.2+",2.8 MB,"Genius-app",https://download.apkpure.com/c/APK/620/0132af06c85c4aa3?fn=Xmod%20Root_v1.4_apkpure.com.apk&k=d21d3e6840cc0069c323b6df420d93b05724c448&p=com.xmod.xmodroot&c=1%7CBOOKS_AND_REFERENCE
"iKamasutra® Lite Sex Positions",books_and_reference,"3.1.12","Mar 03 2016","Android 2.2+",28.7 MB,"SutraTaps",https://download.apkpure.com/c/APK/236/010603b568007ee5?fn=iKamasutra%C2%AE%20Lite%20Sex%20Positions_v3.1.12_apkpure.com.apk&k=66b064736a62761be726b404291c209d5724c448&p=com.lovekamasutra.ikamasutralite&c=1%7CBOOKS_AND_REFERENCE
"Bible Offline",books_and_reference,"5.4.4","Dec 24 2015","Android 4.0.3+",10.1 MB,"MrRocco",https://download.apkpure.com/c/APK/589/0124d1f4fe355d4b?fn=Bible%20Offline_v5.4.4_apkpure.com.apk&k=725d253e3ba35d0b87429b299d4b93925724c448&p=com.bestweatherfor.bibleoffline_pt_ra&c=1%7CBOOKS_AND_REFERENCE
"CAC HYMNAL",books_and_reference,"1.0","Aug 01 2015","Android 4.1+",4.7 MB,"OgatAndroid",https://download.apkpure.com/c/APK/387/011440b620de6017?fn=CAC%20HYMNAL_v1.0_apkpure.com.apk&k=7b9c9b57f63778f506c103dd757c98e35724c448&p=com.tago.cachymn&c=1%7CBOOKS_AND_REFERENCE
"Golden Dictionary (EN-AR)",books_and_reference,"6.1.1.5","Mar 22 2016","Android 2.3.2+",6.4 MB,"Golden-Soft",https://download.apkpure.com/c/APK/1000/01518fd978d32594?fn=Golden%20Dictionary%20EN%20AR_v6.1.1.5_apkpure.com.apk&k=7751e5d35061d5cb4902deaffe4c821d5724c448&p=com.goldensoft.dictionaryenfree&c=1%7CBOOKS_AND_REFERENCE
"Santa Biblia Reina Valera 1960",books_and_reference,"1.3.3","May 15 2015","Android 2.3.2+",4.2 MB,"ThisTrueApp",https://download.apkpure.com/c/APK/287/010c104960ea6193?fn=Santa%20Biblia%20Reina%20Valera%201960_v1.3.3_apkpure.com.apk&k=a02f28710ab71e9db9fdc99ab0892c805724c448&p=org.thistrueapp.biblia&c=1%7CBOOKS_AND_REFERENCE
"EBook Reader & PDF Reader",books_and_reference,"1.6.3.7","Dec 17 2015","Android 2.2+",5.1 MB,"Litter Penguin",https://download.apkpure.com/c/APK/564/0122fa004b24402f?fn=EBook%20Reader%20PDF%20Reader_v1.6.3.7_apkpure.com.apk&k=0fa05851ab42c6acf201d794b4bb28985724c448&p=books.ebook.pdf.reader&c=1%7CBOOKS_AND_REFERENCE
"MyQuran Al Quran Indonesia",books_and_reference,"4.1.8","Apr 07 2016","Android 2.3.2+",14.3 MB,"the WALi studio",https://download.apkpure.com/c/APK/1137/01728a10b3b53433?fn=MyQuran%20Al%20Quran%20Indonesia_v4.1.8_apkpure.com.apk&k=f0a31fa9e14dc0b40615e8e2124cb29d5724c448&p=com.tof.myquranina&c=1%7CBOOKS_AND_REFERENCE
"PocketBook - PDF, EPUB reader",books_and_reference,"1.21.11899.release","Dec 16 2015","Android 2.2+",23.9 MB,"Obreey Products",https://download.apkpure.com/c/APK/560/012265aab2a3a7f6?fn=PocketBook%20PDF%20EPUB%20reader_v1.21.11899.release_apkpure.com.apk&k=96cfedc0370d3e8441253fe9c462f52c5724c448&p=com.obreey.reader&c=1%7CBOOKS_AND_REFERENCE
"Gems for Clash of Clans",books_and_reference,"2.0","Nov 09 2015","Android 4.0+",1.8 MB,"Unlimited Gems Media",https://download.apkpure.com/c/APK/513/011e4ae904358d33?fn=Gems%20for%20Clash%20of%20Clans_v2.0_apkpure.com.apk&k=a0e02ce21fa54be2ddd516069104953f5724c448&p=com.gemsgems.cheatsforcoc&c=1%7CBOOKS_AND_REFERENCE
"Cheat codes Beta",books_and_reference,"1.4","Dec 22 2015","Android 3.2+",5.1 MB,"Horror & Supernatural Comics",https://download.apkpure.com/c/APK/587/012479b2d375768a?fn=Cheat%20codes%20Beta_v1.4_apkpure.com.apk&k=b1f08e01c006cb73d4508887afb2d8985724c4f2&p=com.app.helper&c=1%7CBOOKS_AND_REFERENCE
"The French Bible -Offline",books_and_reference,"2.0","Oct 30 2015","Android 2.3.2+",7.3 MB,"SOFTCRAFT",https://download.apkpure.com/c/APK/261/010aee041e61ca80?fn=The%20French%20Bible%20Offline_v2.0_apkpure.com.apk&k=5e4332f4bc68514c1417e25dda189df65724c4f2&p=com.softcraft.frenchbible&c=1%7CBOOKS_AND_REFERENCE
"صحيح البخاري",books_and_reference,"3.1","Mar 28 2016","Android 2.3.2+",24.7 MB,"Al-Reda Apps",https://download.apkpure.com/c/APK/1053/015f744ef4366380?fn=%D8%B5%D8%AD%D9%8A%D8%AD%20%D8%A7%D9%84%D8%A8%D8%AE%D8%A7%D8%B1%D9%8A_v3.1_apkpure.com.apk&k=6cdda21d2f46ea6a4b6f02c76493de1f5724c4f2&p=com.reda.sahihbukhari&c=1%7CBOOKS_AND_REFERENCE
"Swahili Bible, Biblia Takatifu",books_and_reference,"1.0","Dec 12 2014","Android 2.1+",2.4 MB,"EthioApps",https://download.apkpure.com/c/APK/335/011062244a9f0d09?fn=Swahili%20Bible%20Biblia%20Takatifu_v1.0_apkpure.com.apk&k=dd7565ac11c0474375aed8ca36ce3b905724c4f2&p=com.SwahiliBiblefree.book.AOTKKDRVLFRBERSXW&c=1%7CBOOKS_AND_REFERENCE
"FanFiction.Net",books_and_reference,"3.9.3","Apr 22 2016","Android 4.0.3+",8.6 MB,"FictionPress",https://download.apkpure.com/c/APK/1209/018a8676d59ac47f?fn=FanFiction%20Net_v3.9.1_apkpure.com.apk&k=b7f0a37a59aa0300ef506931b3a06d9b5724c4f2&p=com.fictionpress.fanfiction&c=1%7CBOOKS_AND_REFERENCE
"متاهة مشاعر(رواية)نهى طلبة",books_and_reference,"1.0","Jan 11 2016","Android 2.3.2+",3.5 MB,"N3raf",https://download.apkpure.com/c/APK/738/0130b32eed05871c?fn=%D9%85%D8%AA%D8%A7%D9%87%D8%A9%20%D9%85%D8%B4%D8%A7%D8%B9%D8%B1%20%D8%B1%D9%88%D8%A7%D9%8A%D8%A9%20%D9%86%D9%87%D9%89%20%D8%B7%D9%84%D8%A8%D8%A9_v1.0_apkpure.com.apk&k=c3959eb47988856f0c2bc10efc4a65a75724c4f2&p=net.n3raf.mataha&c=1%7CBOOKS_AND_REFERENCE
"Factory Reset Android Phone",books_and_reference,"2","Jul 11 2014","Android 2.2+",5.6 MB,"Loso Android App",https://download.apkpure.com/c/APK/289/010c358a12d23577?fn=Factory%20Reset%20Android%20Phone_v2_apkpure.com.apk&k=181c2a8b2c8d2360d0b79bde18fe1e705724c4f2&p=com.resetandroidphone&c=1%7CBOOKS_AND_REFERENCE
"Dictionary",books_and_reference,"5.1","Feb 02 2016","Android 4.0+",6.3 MB,"TheFreeDictionary.com – Farlex",https://download.apkpure.com/c/APK/742/0134041f0cd79929?fn=Dictionary_v5.1_apkpure.com.apk&k=26750e0e89b8d866a109a9ec3fcee2d55724c4f2&p=com.tfd.mobile.TfdSearch&c=1%7CBOOKS_AND_REFERENCE
